2025-09-05 19:16:21.178 | INFO     | __main__:main:230 - Charmander knocks out Eevee and wins the battle (7aaa691b)!
2025-09-05 19:16:21.179 | INFO     | __main__:main:208 - Mewtwo uses Psychic that does 14 damage to Charmander. Charmander has 85 HP left!
2025-09-05 19:16:22.181 | INFO     | __main__:main:208 - Mewtwo uses Hyper Beam that does 12 damage to Charmander. Charmander has 73 HP left!
2025-09-05 19:16:23.183 | INFO     | __main__:main:208 - Mewtwo uses Water Gun that does 17 damage to Charmander. Charmander has 56 HP left!
2025-09-05 19:16:24.185 | INFO     | __main__:main:208 - Mewtwo uses Shadow Ball that does 12 damage to Charmander. Charmander has 44 HP left!
2025-09-05 19:16:25.187 | INFO     | __main__:main:208 - Mewtwo uses Flamethrower that does 33 damage to Charmander. Charmander has 11 HP left!
2025-09-05 19:16:26.190 | INFO     | __main__:main:208 - Mewtwo uses Shadow Ball that does 12 damage to Charmander. Charmander has 0 HP left!
2025-09-05 19:16:27.192 | INFO     | __main__:main:230 - Mewtwo knocks out Charmander and wins the battle (e391c699)!
2025-09-05 19:16:27.193 | INFO     | __main__:main:208 - Mewtwo uses Thunderbolt that does 18 damage to Jigglypuff. Jigglypuff has 160 HP left!
2025-09-05 19:16:28.195 | INFO     | __main__:main:208 - Mewtwo uses Water Gun that does 30 damage to Jigglypuff. Jigglypuff has 130 HP left!
2025-09-05 19:16:29.197 | INFO     | __main__:main:208 - Mewtwo uses Water Gun that does 30 damage to Jigglypuff. Jigglypuff has 100 HP left!
2025-09-05 19:16:30.200 | INFO     | __main__:main:208 - Mewtwo uses Flamethrower that does 59 damage to Jigglypuff. Jigglypuff has 41 HP left!
2025-09-05 19:16:31.202 | INFO     | __main__:main:208 - Mewtwo uses Hyper Beam that does 22 damage to Jigglypuff. Jigglypuff has 19 HP left!
2025-09-05 19:16:32.204 | INFO     | __main__:main:208 - Mewtwo uses Thunderbolt that does 18 damage to Jigglypuff. Jigglypuff has 1 HP left!
2025-09-05 19:16:32.204 | INFO     | __main__:main:269 - [METRICS last 60s][Most Damage Given] Pikachu with 342
2025-09-05 19:16:33.207 | INFO     | __main__:main:208 - Mewtwo uses Body Slam that does 45 damage to Jigglypuff. Jigglypuff has 0 HP left!
2025-09-05 19:16:34.209 | INFO     | __main__:main:230 - Mewtwo knocks out Jigglypuff and wins the battle (3c95de97)!
2025-09-05 19:16:34.210 | INFO     | __main__:main:208 - Eevee uses Quick Attack that does 10 damage to Pikachu. Pikachu has 85 HP left!
2025-09-05 19:16:35.213 | INFO     | __main__:main:208 - Eevee uses Thunderbolt that does 10 damage to Pikachu. Pikachu has 75 HP left!
2025-09-05 19:16:36.215 | INFO     | __main__:main:208 - Eevee uses Water Gun that does 16 damage to Pikachu. Pikachu has 59 HP left!
